西暦,年度,資料,取得元URL,最終URL,結果,バイト数
2005,平成17年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi17.zip,http://www.kakomon.info/syaroushi/syaroushi17.zip,OK,595159
2006,平成18年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi18.zip,http://www.kakomon.info/syaroushi/syaroushi18.zip,OK,588727
2007,平成19年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi19.zip,http://www.kakomon.info/syaroushi/syaroushi19.zip,OK,572189
2008,平成20年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi20.zip,http://www.kakomon.info/syaroushi/syaroushi20.zip,OK,554441
2009,平成21年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi21.zip,http://www.kakomon.info/syaroushi/syaroushi21.zip,OK,546418
2010,平成22年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi22.zip,http://www.kakomon.info/syaroushi/syaroushi22.zip,OK,594421
2011,平成23年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi23.zip,http://www.kakomon.info/syaroushi/syaroushi23.zip,OK,669925
2012,平成24年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi24.zip,http://www.kakomon.info/syaroushi/syaroushi24.zip,OK,662895
2013,平成25年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi25.zip,http://www.kakomon.info/syaroushi/syaroushi25.zip,OK,1523803
2014,平成26年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi26.zip,http://www.kakomon.info/syaroushi/syaroushi26.zip,OK,1597785
2015,平成27年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi27.zip,http://www.kakomon.info/syaroushi/syaroushi27.zip,OK,986825
2016,平成28年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi28.zip,http://www.kakomon.info/syaroushi/syaroushi28.zip,OK,1596144
2017,平成29年度,年度別ZIP展開,http://www.kakomon.info/syaroushi/syaroushi29.zip,http://www.kakomon.info/syaroushi/syaroushi29.zip,OK,1900482
2018,平成30年度,01_選択式試験問題.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/50sentakushiki.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/50sentakushiki.pdf,OK,634001
2018,平成30年度,02_択一式試験問題.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/50takuitsusiki.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/50takuitsusiki.pdf,OK,850824
2018,平成30年度,03_公式_合格基準及び正答.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/50kijyun-seitou.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/50kijyun-seitou.pdf,OK,52247
2019,令和元年度,01_選択式試験問題.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/51sentakushiki.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/51sentakushiki.pdf,OK,245267
2019,令和元年度,02_択一式試験問題.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/51takuitsusiki.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/51takuitsusiki.pdf,OK,436645
2019,令和元年度,03_公式_合格基準及び正答.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/51kijyun-seitou.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/51kijyun-seitou.pdf,OK,75964
2020,令和2年度,01_選択式試験問題.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/52sentakushiki.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/52sentakushiki.pdf,OK,254997
2020,令和2年度,02_択一式試験問題.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/52takuitsusiki.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/52takuitsusiki.pdf,OK,475521
2020,令和2年度,03_公式_合格基準及び正答.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/52kijyun-seitou.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/52kijyun-seitou.pdf,OK,78578
2021,令和3年度,01_選択式試験問題.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/53sentakushiki.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/53sentakushiki.pdf,OK,262317
2021,令和3年度,02_択一式試験問題.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/53takuitsusiki.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/53takuitsusiki.pdf,OK,519795
2021,令和3年度,03_公式_合格基準及び正答.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/53kijyun-seitou-1.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/53kijyun-seitou-1.pdf,OK,66084
2022,令和4年度,01_選択式試験問題.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/54sentakushiki.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/54sentakushiki.pdf,OK,285856
2022,令和4年度,02_択一式試験問題.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/54takuitsusiki.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/54takuitsusiki.pdf,OK,499306
2022,令和4年度,03_公式_合格基準及び正答.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/54kijyun-seitou.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/54kijyun-seitou.pdf,OK,50708
